{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[122/10000000] D: 1.33|G: 1.53|Recon: 1.17|Consis: 0.57|Content: 4.09|Style: 11.13|T: 8.45|| M2MM: 0.00|MM2M: 0.00| M2MM
[123/10000000] D: 1.25|G: 1.45|Recon: 1.08|Consis: 0.50|Content: 3.10|Style: 12.28|T: 8.36|| M2MM: 0.00|MM2M: 0.00| M2MM
[124/10000000] D: 1.18|G: 1.49|Recon: 1.14|Consis: 0.53|Content: 3.83|Style: 10.94|T: 8.43|| M2MM: 0.00|MM2M: 0.00| M2MM
[125/10000000] D: 1.35|G: 0.98|Recon: 1.28|Consis: 0.54|Content: 4.02|Style: 9.42|T: 8.46|| M2MM: 0.00|MM2M: 0.00| M2MM
[126/10000000] D: 1.32|G: 1.03|Recon: 1.25|Consis: 0.53|Content: 4.15|Style: 9.31|T: 8.45|| M2MM: 0.00|MM2M: 0.00| M2MM
[127/10000000] D: 1.32|G: 1.24|Recon: 1.34|Consis: 0.55|Content: 3.94|Style: 11.24|T: 8.41|| M2MM: 0.00|MM2M: 0.00| M2MM
[128/10000000] D: 1.16|G: 1.69|Recon: 1.11|Consis: 0.52|Content: 3.79|Style: 10.32|T: 8.40|| M2MM: 0.00|MM2M: 0.00| M2MM
[129/10000000] D: 1.26|G: 1.12|Recon: 1.14|Consis: 0.57|Content: 4.54|Style: 10.16|T: 8.13|| M2MM: 0.00|MM2M: 0.00| M2MM
[130/10000000] D: 1.12|G: 1.22|Recon: 1.25|Consis: 0.59|Content: 5.29|Style: 10.50|T: 8.41|| M2MM: 0.00|MM2M: 0.00| M2MM
[131/10000000] D: 1.19|G: 1.50|Recon: 1.15|Consis: 0.52|Content: 3.81|Style: 10.67|T: 8.24|| M2MM: 0.00|MM2M: 0.00| M2MM
[132/10000000] D: 1.13|G: 1.73|Recon: 1.15|Consis: 0.51|Content: 3.76|Style: 11.43|T: 8.27|| M2MM: 0.00|MM2M: 0.00| M2MM
[133/10000000] D: 0.99|G: 1.10|Recon: 1.11|Consis: 0.60|Content: 4.91|Style: 9.70|T: 8.23|| M2MM: 0.00|MM2M: 0.00| M2MM
[134/10000000] D: 1.29|G: 1.33|Recon: 1.16|Consis: 0.51|Content: 3.57|Style: 10.86|T: 8.30|| M2MM: 0.00|MM2M: 0.00| M2MM
